key,repo_name,size,diameter,density,component_authors,url,comment_count,repo_contributors,component_nodes
232,Activiti/Activiti,2,1,0.5,https://github.com/pmartinezga|https://github.com/mmartinadanx|https://github.com/rbarroso|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3744,0,197,3744|3745
234,Activiti/Activiti,2,1,0.5,https://github.com/mmartinadanx|https://github.com/rbarroso|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3741,0,197,3741|3742
235,Activiti/Activiti,2,1,0.5,https://github.com/CLAassistant|https://github.com/balsarori|https://github.com/erdemedeiros|https://github.com/AnkurChauhan-131,https://github.com/Activiti/Activiti/issues/3738,5,197,3738|3740
241,Activiti/Activiti,2,1,0.5,https://github.com/pmartinezga|https://github.com/CLAassistant|https://github.com/rbarroso|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3732,1,197,3732|3733
254,Activiti/Activiti,2,1,0.5,https://github.com/pmartinezga|https://github.com/mmartinadanx|https://github.com/apps/mergify|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3718,0,197,3718|3719
261,Activiti/Activiti,4,3,0.25,https://github.com/erdemedeiros|https://github.com/ghost|https://github.com/balsarori|https://github.com/apps/mergify|https://github.com/CLAassistant,https://github.com/Activiti/Activiti/issues/3704,6,197,3704|3707|3710|3711
280,Activiti/Activiti,2,1,0.5,https://github.com/CLAassistant|https://github.com/apps/mergify|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3688,2,197,3688|3689
282,Activiti/Activiti,2,1,0.5,https://github.com/igdianov|https://github.com/apps/mergify|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3684,0,197,3684|3685
286,Activiti/Activiti,2,1,0.5,https://github.com/igdianov|https://github.com/apps/mergify|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3680,0,197,3680|3674
307,Activiti/Activiti,2,1,0.5,https://github.com/ryandawsonuk|https://github.com/mteodori|https://github.com/salaboy,https://github.com/Activiti/Activiti/issues/1721,4,197,1721|3658
310,Activiti/Activiti,2,1,0.5,https://github.com/apps/codecov|https://github.com/apps/dependabot|https://github.com/mteodori|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3627,2,197,3627|3655
314,Activiti/Activiti,2,1,0.5,https://github.com/leolovesmile|https://github.com/salaboy,https://github.com/Activiti/Activiti/issues/3651,1,197,3651|1211
315,Activiti/Activiti,2,1,0.5,https://github.com/mmartinadanx|https://github.com/apps/mergify|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3633,1,197,3633|3650
317,Activiti/Activiti,2,1,0.5,https://github.com/any-how|https://github.com/erdemedeiros|https://github.com/mteodori|https://github.com/apps/mergify|https://github.com/mmartinadanx,https://github.com/Activiti/Activiti/issues/3648,5,197,3648|3249
319,Activiti/Activiti,2,1,0.5,https://github.com/roblues|https://github.com/balsarori|https://github.com/gebilaoman,https://github.com/Activiti/Activiti/issues/2856,10,197,2856|3646
324,Activiti/Activiti,2,1,0.5,https://github.com/apps/mergify|https://github.com/Raluca-Plugariu|https://github.com/balsarori|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3640,0,197,3640|3641
326,Activiti/Activiti,2,1,0.5,https://github.com/apps/codecov|https://github.com/mteodori|https://github.com/apps/dependabot,https://github.com/Activiti/Activiti/issues/3619,2,197,3619|3638
334,Activiti/Activiti,3,2,0.3333333333333333,https://github.com/miguelruizdev|https://github.com/mteodori|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3242,0,197,3242|3628|3629
338,Activiti/Activiti,2,1,0.5,https://github.com/erdemedeiros|https://github.com/mteodori|https://github.com/apps/mergify|https://github.com/apps/codecov|https://github.com/XenoAmess,https://github.com/Activiti/Activiti/issues/3588,6,197,3588|3623
341,Activiti/Activiti,4,3,0.25,https://github.com/zoltanpalfi|https://github.com/codecov-io|https://github.com/erdemedeiros|https://github.com/apps/mergify|https://github.com/apps/codecov|https://github.com/XenoAmess|https://github.com/miguelruizdev,https://github.com/Activiti/Activiti/issues/3498,4,197,3498|3499|3618|3620
351,Activiti/Activiti,2,1,0.5,https://github.com/apps/codecov|https://github.com/Raluca-Plugariu|https://github.com/apps/mergify|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3608,2,197,3608|3606
354,Activiti/Activiti,2,1,0.5,https://github.com/apps/codecov|https://github.com/mteodori|https://github.com/apps/dependabot,https://github.com/Activiti/Activiti/issues/3604,3,197,3604|3589
364,Activiti/Activiti,6,4,0.16666666666666666,https://github.com/pmartinezga|https://github.com/morganzhh|https://github.com/codecov-io|https://github.com/erdemedeiros|https://github.com/apps/mergify|https://github.com/apps/codecov|https://github.com/XenoAmess|https://github.com/Odyseja,https://github.com/Activiti/Activiti/issues/3493,6,197,3493|3594|3370|3056|3025|3029
371,Activiti/Activiti,2,1,0.5,https://github.com/erdemedeiros|https://github.com/mteodori|https://github.com/apps/mergify|https://github.com/apps/codecov|https://github.com/XenoAmess,https://github.com/Activiti/Activiti/issues/3584,3,197,3584|3585
377,Activiti/Activiti,4,3,0.25,https://github.com/codecov-io|https://github.com/erdemedeiros|https://github.com/Activiti|https://github.com/mteodori|https://github.com/apps/codecov|https://github.com/XenoAmess,https://github.com/Activiti/Activiti/issues/3465,3,197,3465|3578|3566|3570
383,Activiti/Activiti,2,1,0.5,https://github.com/erdemedeiros|https://github.com/andrea-ligios|https://github.com/apps/mergify|https://github.com/apps/codecov|https://github.com/XenoAmess|https://github.com/Giovanni007,https://github.com/Activiti/Activiti/issues/3571,1,197,3571|3572
393,Activiti/Activiti,2,1,0.5,https://github.com/CLAassistant|https://github.com/shootercheng|https://github.com/mteodori|https://github.com/apps/codecov,https://github.com/Activiti/Activiti/issues/3556,3,197,3556|3559
402,Activiti/Activiti,2,1,0.5,https://github.com/shootercheng|https://github.com/mteodori|https://github.com/balsarori|https://github.com/CLAassistant|https://github.com/apps/codecov,https://github.com/Activiti/Activiti/issues/3548,6,197,3548|3549
414,Activiti/Activiti,3,2,0.3333333333333333,https://github.com/codecov-io|https://github.com/mteodori|https://github.com/ShirleyLee-li|https://github.com/XenoAmess|https://github.com/apps/dependabot,https://github.com/Activiti/Activiti/issues/3536,7,197,3536|3481|3529
430,Activiti/Activiti,2,1,0.5,https://github.com/codecov-io|https://github.com/erdemedeiros|https://github.com/apps/mergify|https://github.com/balsarori|https://github.com/CLAassistant|https://github.com/XenoAmess|https://github.com/Raluca-Plugariu,https://github.com/Activiti/Activiti/issues/3518,3,197,3518|3519
442,Activiti/Activiti,4,2,0.25,https://github.com/jesty|https://github.com/erdemedeiros|https://github.com/aldbaran|https://github.com/knowings|https://github.com/apps/mergify|https://github.com/CLAassistant|https://github.com/codecov-commenter|https://github.com/XenoAmess|https://github.com/Giovanni007,https://github.com/Activiti/Activiti/issues/3409,6,197,3409|3506|3396|3394
443,Activiti/Activiti,13,3,0.08974358974358974,https://github.com/zoltanpalfi|https://github.com/jesty|https://github.com/codecov-io|https://github.com/erdemedeiros|https://github.com/apps/dependabot-preview|https://github.com/codecov-commenter|https://github.com/mteodori|https://github.com/apps/mergify|https://github.com/almerico|https://github.com/igdianov|https://github.com/XenoAmess,https://github.com/Activiti/Activiti/issues/3299,10,197,3299|3236|3497|3019|3341|3342|3343|3505|3282|3324|3286|3322|3292
450,Activiti/Activiti,2,1,0.5,https://github.com/igdianov|https://github.com/mteodori|https://github.com/salaboy,https://github.com/Activiti/Activiti/issues/2197,4,197,2197|3495
465,Activiti/Activiti,2,1,0.5,https://github.com/erdemedeiros|https://github.com/mteodori|https://github.com/nithinnambiar|https://github.com/apps/mergify|https://github.com/XenoAmess,https://github.com/Activiti/Activiti/issues/3477,0,197,3477|3478
474,Activiti/Activiti,2,1,0.5,https://github.com/zoltanpalfi|https://github.com/codecov-io|https://github.com/erdemedeiros|https://github.com/apps/mergify|https://github.com/XenoAmess,https://github.com/Activiti/Activiti/issues/3467,1,197,3467|3468
475,Activiti/Activiti,2,1,0.5,https://github.com/codecov-io|https://github.com/erdemedeiros|https://github.com/apps/mergify|https://github.com/balsarori|https://github.com/XenoAmess|https://github.com/amohammedalfresco,https://github.com/Activiti/Activiti/issues/3464,2,197,3464|3463
482,Activiti/Activiti,3,2,0.3333333333333333,https://github.com/wangjian1984|https://github.com/erdemedeiros|https://github.com/temiotu|https://github.com/shkhadijah|https://github.com/mteodori|https://github.com/ffazzini|https://github.com/apps/mergify|https://github.com/codecov-commenter|https://github.com/igdianov|https://github.com/XenoAmess,https://github.com/Activiti/Activiti/issues/3456,10,197,3456|3425|3441
484,Activiti/Activiti,3,2,0.3333333333333333,https://github.com/codecov-io|https://github.com/grzi|https://github.com/mteodori|https://github.com/CLAassistant|https://github.com/codecov-commenter,https://github.com/Activiti/Activiti/issues/3454,3,197,3454|3445|3446
494,Activiti/Activiti,2,1,0.5,https://github.com/erdemedeiros|https://github.com/apps/mergify|https://github.com/codecov-commenter|https://github.com/XenoAmess|https://github.com/miguelruizdev|https://github.com/amohammedalfresco,https://github.com/Activiti/Activiti/issues/3433,2,197,3433|3442
495,Activiti/Activiti,2,1,0.5,https://github.com/erdemedeiros|https://github.com/mauriziovitale|https://github.com/apps/mergify|https://github.com/codecov-commenter|https://github.com/XenoAmess|https://github.com/miguelruizdev|https://github.com/Giovanni007,https://github.com/Activiti/Activiti/issues/3440,1,197,3440|3439
496,Activiti/Activiti,2,1,0.5,https://github.com/erdemedeiros|https://github.com/mteodori|https://github.com/nithinnambiar|https://github.com/apps/mergify|https://github.com/codecov-commenter|https://github.com/XenoAmess,https://github.com/Activiti/Activiti/issues/3437,1,197,3437|3438
502,Activiti/Activiti,3,1,0.5,https://github.com/erdemedeiros|https://github.com/apps/mergify|https://github.com/ibrohimislam|https://github.com/codecov-commenter|https://github.com/XenoAmess|https://github.com/miguelruizdev,https://github.com/Activiti/Activiti/issues/3392,2,197,3392|3368|3430
504,Activiti/Activiti,2,1,0.5,https://github.com/mteodori|https://github.com/miguelruizdev|https://github.com/apps/mergify|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3418,1,197,3418|3428
522,Activiti/Activiti,3,2,0.3333333333333333,https://github.com/zoltanpalfi|https://github.com/erdemedeiros|https://github.com/apps/mergify|https://github.com/codecov-commenter|https://github.com/XenoAmess,https://github.com/Activiti/Activiti/issues/3405,3,197,3405|3406|3407
524,Activiti/Activiti,2,1,0.5,https://github.com/erdemedeiros|https://github.com/mauriziovitale|https://github.com/mteodori|https://github.com/apps/mergify|https://github.com/codecov-commenter|https://github.com/Giovanni007,https://github.com/Activiti/Activiti/issues/3403,1,197,3403|3398
525,Activiti/Activiti,5,2,0.3,https://github.com/erdemedeiros|https://github.com/apps/mergify|https://github.com/balsarori|https://github.com/eromano|https://github.com/codecov-commenter|https://github.com/XenoAmess|https://github.com/miguelruizdev,https://github.com/Activiti/Activiti/issues/3393,6,197,3393|3401|3402|3385|3386
529,Activiti/Activiti,3,1,0.5,https://github.com/erdemedeiros|https://github.com/apps/mergify|https://github.com/codecov-commenter|https://github.com/igdianov|https://github.com/XenoAmess|https://github.com/miguelruizdev,https://github.com/Activiti/Activiti/issues/3395,4,197,3395|3387|3388
533,Activiti/Activiti,2,1,0.5,https://github.com/codecov-commenter|https://github.com/apps/lgtm-com|https://github.com/silverskyvicto|https://github.com/mteodori,https://github.com/Activiti/Activiti/issues/3384,3,197,3384|3383
534,Activiti/Activiti,2,1,0.5,https://github.com/silverskyvicto|https://github.com/codecov-commenter|https://github.com/mteodori,https://github.com/Activiti/Activiti/issues/3381,1,197,3381|3382
541,Activiti/Activiti,2,1,0.5,https://github.com/silverskyvicto|https://github.com/mteodori,https://github.com/Activiti/Activiti/issues/3373,1,197,3373|3374
544,Activiti/Activiti,3,2,0.3333333333333333,https://github.com/erdemedeiros|https://github.com/mteodori|https://github.com/apps/mergify|https://github.com/almerico|https://github.com/miguelruizdev,https://github.com/Activiti/Activiti/issues/160,3,197,160|3369|3358
545,Activiti/Activiti,5,3,0.2,https://github.com/erdemedeiros|https://github.com/jesperdj|https://github.com/balsarori|https://github.com/apps/mergify|https://github.com/oswulf75|https://github.com/mbracero|https://github.com/codecov-commenter|https://github.com/XenoAmess|https://github.com/tijsrademakers|https://github.com/Klapsa2503|https://github.com/ghost|https://github.com/jjava|https://github.com/rvaldeolmillos|https://github.com/ngocthat012|https://github.com/frederikheremans|https://github.com/ggrnd0|https://github.com/salaboy|https://github.com/MephistoMMM|https://github.com/igdianov,https://github.com/Activiti/Activiti/issues/3,23,197,3|3076|3367|2666|3210
550,Activiti/Activiti,2,1,0.5,https://github.com/jbarrez|https://github.com/muskiehunter1985|https://github.com/masrawi|https://github.com/salaboy|https://github.com/tijsrademakers,https://github.com/Activiti/Activiti/issues/3362,5,197,3362|782
554,Activiti/Activiti,2,1,0.5,https://github.com/miguelruizdev|https://github.com/mteodori|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3356,0,197,3356|3357
555,Activiti/Activiti,2,1,0.5,https://github.com/miguelruizdev|https://github.com/apps/mergify|https://github.com/codecov-commenter|https://github.com/XenoAmess|https://github.com/Nannakaroliina,https://github.com/Activiti/Activiti/issues/3354,1,197,3354|3355
566,Activiti/Activiti,2,1,0.5,https://github.com/XenoAmess|https://github.com/mteodori|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3339,0,197,3339|3340
583,Activiti/Activiti,2,1,0.5,https://github.com/apps/lgtm-com|https://github.com/erdemedeiros|https://github.com/VitoAlbano|https://github.com/apps/mergify|https://github.com/codecov-commenter|https://github.com/XenoAmess,https://github.com/Activiti/Activiti/issues/3320,2,197,3320|3319
584,Activiti/Activiti,4,3,0.25,https://github.com/erdemedeiros|https://github.com/VitoAlbano|https://github.com/apps/mergify|https://github.com/codecov-commenter|https://github.com/igdianov|https://github.com/XenoAmess,https://github.com/Activiti/Activiti/issues/3315,3,197,3315|3316|3317|3318
588,Activiti/Activiti,8,6,0.125,https://github.com/erdemedeiros|https://github.com/almerico|https://github.com/igdianov|https://github.com/leolovesmile|https://github.com/magemello|https://github.com/ffazzini|https://github.com/balsarori|https://github.com/apps/mergify|https://github.com/CLAassistant|https://github.com/salaboy|https://github.com/sheac|https://github.com/aresa7796|https://github.com/apps/codecov|https://github.com/miguelruizdev|https://github.com/ryandawsonuk,https://github.com/Activiti/Activiti/issues/2144,60,197,2144|2116|2213|2118|2475|3311|2227|2104
589,Activiti/Activiti,2,1,0.5,https://github.com/igdianov|https://github.com/XenoAmess|https://github.com/apps/mergify|https://github.com/erdemedeiros,https://github.com/Activiti/Activiti/issues/3309,0,197,3309|3310
