repo_name,component_id,link_url,node_1_type,node_1_id,node_1_author,node_1_num_comment,node_2_type,node_2_id,node_2_author,node_2_num_commentslink_type
Rapptz/discord.py,49179,https://github.com/Rapptz/discord.py/pull/2075#issue-432748710,pull_request,2075,https://github.com/diceroll123,1,pull_request,2074,https://github.com/diceroll123,0,other
Project-OSRM/osrm-backend,44062,https://github.com/Project-OSRM/osrm-backend/issues/791#issue-22523924,issue,791,https://github.com/clintharris,4,issue,802,https://github.com/clintharris,27,other
Project-OSRM/osrm-backend,44062,https://github.com/Project-OSRM/osrm-backend/issues/3839#issue-215347211,issue,3839,https://github.com/Pcosmin,3,issue,802,https://github.com/clintharris,27,other
Project-OSRM/osrm-backend,44062,https://github.com/Project-OSRM/osrm-backend/issues/802#issuecomment-28694591,issue,802,https://github.com/clintharris,27,issue,798,https://github.com/clintharris,9,other
mlflow/mlflow,39967,https://github.com/mlflow/mlflow/issues/2455#issuecomment-589289105,issue,2455,https://github.com/Tradunsky,2,issue,2201,https://github.com/Tradunsky,15,other
mlflow/mlflow,39967,https://github.com/mlflow/mlflow/issues/2201#issue-537552030,issue,2201,https://github.com/Tradunsky,15,pull_request,1769,https://github.com/Ben-Epstein,2,other
mlflow/mlflow,39967,https://github.com/mlflow/mlflow/pull/1769#issue-483460505,pull_request,1769,https://github.com/Ben-Epstein,2,issue,1750,https://github.com/Ben-Epstein,6,other
MithrilJS/mithril.js,36000,https://github.com/MithrilJS/mithril.js/issues/2392#issue-418906808,issue,2392,https://github.com/CarlLeth,1,issue,2333,https://github.com/qgustavor,0,duplicate
MithrilJS/mithril.js,36000,https://github.com/MithrilJS/mithril.js/pull/2335#issue-389212439,pull_request,2335,https://github.com/dead-claudia,3,issue,2313,https://github.com/dead-claudia,0,fixes
MithrilJS/mithril.js,36000,https://github.com/MithrilJS/mithril.js/pull/2335#issue-389212439,pull_request,2335,https://github.com/dead-claudia,3,issue,2333,https://github.com/qgustavor,0,fixes
rlidwka/sinopia,52640,https://github.com/rlidwka/sinopia/issues/356#issue-122452619,issue,356,https://github.com/ghost,5,issue,289,https://github.com/alallier,13,other
rlidwka/sinopia,52640,https://github.com/rlidwka/sinopia/issues/289#issue-97950517,issue,289,https://github.com/alallier,13,issue,124,https://github.com/gywbd,3,other
mlflow/mlflow,39974,https://github.com/mlflow/mlflow/pull/1155#discussion_r280637436,pull_request,1187,https://github.com/aarondav,1,pull_request,1155,https://github.com/smurching,2,other
mlflow/mlflow,39974,https://github.com/mlflow/mlflow/issues/1288#issue-445263712,issue,1288,https://github.com/rugeer,1,pull_request,1187,https://github.com/aarondav,1,other
mlflow/mlflow,39974,https://github.com/mlflow/mlflow/issues/1385#issue-451623696,issue,1385,https://github.com/ananthc,1,pull_request,1292,https://github.com/smurching,0,other
mlflow/mlflow,39974,https://github.com/mlflow/mlflow/pull/1371#issue-450950669,pull_request,1371,https://github.com/smurching,1,pull_request,1292,https://github.com/smurching,0,other
mlflow/mlflow,39974,https://github.com/mlflow/mlflow/issues/2444#issue-567691424,issue,2444,https://github.com/Esadruhn,7,issue,1397,https://github.com/tkocmathla,7,other
mlflow/mlflow,39974,https://github.com/mlflow/mlflow/pull/1292#issue-445870898,pull_request,1292,https://github.com/smurching,0,issue,1229,https://github.com/seeder,0,other
mlflow/mlflow,39974,https://github.com/mlflow/mlflow/pull/1155#discussion_r280637436,pull_request,1196,https://github.com/smurching,0,pull_request,1155,https://github.com/smurching,2,other
mlflow/mlflow,39974,https://github.com/mlflow/mlflow/pull/1404#issue-452651015,pull_request,1404,https://github.com/sueann,0,issue,1397,https://github.com/tkocmathla,7,other
casesandberg/react-color,16426,https://github.com/casesandberg/react-color/pull/703#issue-608820815,pull_request,703,https://github.com/pizza3,1,issue,547,https://github.com/BernardoFBBraga,2,other
mgonto/restangular,34730,https://github.com/mgonto/restangular/pull/1274#issue-118807801,pull_request,1274,https://github.com/pgom,2,pull_request,1088,https://github.com/oznu,11,other
mgonto/restangular,34730,https://github.com/mgonto/restangular/issues/749#issuecomment-182229988,issue,749,https://github.com/iancrowther,27,pull_request,1284,https://github.com/dreef3,9,other
mgonto/restangular,34730,https://github.com/mgonto/restangular/issues/1065#issue-59247362,issue,1065,https://github.com/XVincentX,5,pull_request,1284,https://github.com/dreef3,9,other
mgonto/restangular,34730,https://github.com/mgonto/restangular/issues/1303#issuecomment-226682307,issue,1303,https://github.com/steel119,9,issue,1321,https://github.com/pedromarce,6,other
mgonto/restangular,34730,https://github.com/mgonto/restangular/issues/749#issuecomment-139865773,issue,749,https://github.com/iancrowther,27,issue,1012,https://github.com/subramn,2,other
mgonto/restangular,34730,https://github.com/mgonto/restangular/issues/1303#issuecomment-243648166,issue,1303,https://github.com/steel119,9,issue,1397,https://github.com/kalpitpandit,19,other
deployphp/deployer,20267,https://github.com/deployphp/deployer/pull/2560#issue-907407350,pull_request,2560,https://github.com/staabm,1,issue,2545,https://github.com/staabm,2,fixes
