repo_name,component_id,url,nodes,total_comment_count,component_size
apache/dubbo,8677,https://github.com/apache/dubbo/issues/10049,"[10049, 10045]",2,2
apache/dubbo,8682,https://github.com/apache/dubbo/issues/10040,"[10040, 9953, 9978, 9958]",11,4
apache/dubbo,8686,https://github.com/apache/dubbo/issues/10035,"[10035, 10036]",6,2
apache/dubbo,8698,https://github.com/apache/dubbo/issues/10002,"[10002, 9990, 10015]",13,3
apache/dubbo,8700,https://github.com/apache/dubbo/issues/10009,"[10009, 9986, 10013]",12,3
apache/dubbo,8702,https://github.com/apache/dubbo/issues/10008,"[10008, 9972]",2,2
apache/dubbo,8706,https://github.com/apache/dubbo/issues/10004,"[10004, 9999]",18,2
apache/dubbo,8707,https://github.com/apache/dubbo/issues/9992,"[9992, 10003]",4,2
apache/dubbo,8714,https://github.com/apache/dubbo/issues/9993,"[9993, 9977]",4,2
apache/dubbo,8729,https://github.com/apache/dubbo/issues/9940,"[9940, 9974]",14,2
apache/dubbo,8734,https://github.com/apache/dubbo/issues/9964,"[9964, 9967]",1,2
apache/dubbo,8755,https://github.com/apache/dubbo/issues/9921,"[9921, 9941, 9942, 9910, 9912]",28,5
App-vNext/Polly,14896,https://github.com/App-vNext/Polly/issues/936,"[936, 937]",14,2
archriss/react-native-snap-carousel,15424,https://github.com/archriss/react-native-snap-carousel/issues/928,"[928, 929]",8,2
archriss/react-native-snap-carousel,15427,https://github.com/archriss/react-native-snap-carousel/issues/922,"[922, 925]",4,2
BurntSushi/toml,16083,https://github.com/BurntSushi/toml/issues/354,"[354, 358, 357, 350]",43,4
BurntSushi/toml,16084,https://github.com/BurntSushi/toml/issues/353,"[353, 356]",11,2
cglib/cglib,16884,https://github.com/cglib/cglib/issues/205,"[205, 206]",0,2
deployphp/deployer,19957,https://github.com/deployphp/deployer/issues/3189,"[3189, 3159]",16,2
deployphp/deployer,19986,https://github.com/deployphp/deployer/issues/3146,"[3146, 3147]",0,2
deployphp/deployer,19987,https://github.com/deployphp/deployer/issues/3144,"[3144, 3145]",0,2
deployphp/deployer,19991,https://github.com/deployphp/deployer/issues/3137,"[3137, 3138]",0,2
deployphp/deployer,19994,https://github.com/deployphp/deployer/issues/3129,"[3129, 3133]",6,2
deployphp/deployer,20007,https://github.com/deployphp/deployer/issues/3112,"[3112, 3111]",3,2
deployphp/deployer,20011,https://github.com/deployphp/deployer/issues/3088,"[3088, 3089, 3091, 3092, 3093, 3095, 3096, 3097, 3098, 3100]",164,10
duo-labs/cloudmapper,22005,https://github.com/duo-labs/cloudmapper/issues/928,"[928, 927]",2,2
go-chi/chi,22951,https://github.com/go-chi/chi/issues/724,"[724, 726]",4,2
grpc/grpc-web,23502,https://github.com/grpc/grpc-web/issues/1257,"[1257, 1251, 1241]",10,3
grpc/grpc-web,23530,https://github.com/grpc/grpc-web/issues/1220,"[1220, 1222, 1223]",31,3
jupyterhub/jupyterhub,26634,https://github.com/jupyterhub/jupyterhub/issues/3977,"[3977, 3971]",4,2
jupyterhub/jupyterhub,26638,https://github.com/jupyterhub/jupyterhub/issues/3969,"[3969, 3965]",7,2
jupyterhub/jupyterhub,26668,https://github.com/jupyterhub/jupyterhub/issues/3936,"[3936, 3933]",5,2
jupyterhub/jupyterhub,26669,https://github.com/jupyterhub/jupyterhub/issues/3900,"[3900, 3935]",5,2
jupyterhub/jupyterhub,26671,https://github.com/jupyterhub/jupyterhub/issues/3913,"[3913, 3932]",12,2
jupyterhub/jupyterhub,26672,https://github.com/jupyterhub/jupyterhub/issues/3930,"[3930, 3931]",0,2
jupyterhub/jupyterhub,26674,https://github.com/jupyterhub/jupyterhub/issues/3928,"[3928, 3919]",3,2
jupyterhub/jupyterhub,26676,https://github.com/jupyterhub/jupyterhub/issues/3906,"[3906, 3925]",10,2
jupyterhub/jupyterhub,26677,https://github.com/jupyterhub/jupyterhub/issues/3889,"[3889, 3924]",12,2
jupyterhub/jupyterhub,26683,https://github.com/jupyterhub/jupyterhub/issues/3914,"[3914, 3915]",3,2
jupyterhub/jupyterhub,26686,https://github.com/jupyterhub/jupyterhub/issues/3909,"[3909, 3901]",3,2
jupyterhub/jupyterhub,26687,https://github.com/jupyterhub/jupyterhub/issues/3905,"[3905, 3907]",0,2
jupyterhub/jupyterhub,26695,https://github.com/jupyterhub/jupyterhub/issues/3890,"[3890, 3891]",3,2
jupyterhub/jupyterhub,26704,https://github.com/jupyterhub/jupyterhub/issues/3873,"[3873, 3874]",5,2
kubernetes-sigs/kustomize,29306,https://github.com/kubernetes-sigs/kustomize/issues/4705,"[4705, 4698, 4699, 4692]",62,4
kubernetes-sigs/kustomize,29312,https://github.com/kubernetes-sigs/kustomize/issues/4688,"[4688, 4689]",11,2
kubernetes-sigs/kustomize,29359,https://github.com/kubernetes-sigs/kustomize/issues/4570,"[4570, 4610]",8,2
MagicStack/uvloop,31993,https://github.com/MagicStack/uvloop/issues/468,"[468, 469, 470]",2,3
marko-js/marko,32332,https://github.com/marko-js/marko/issues/1808,"[1808, 1810]",10,2
marko-js/marko,32343,https://github.com/marko-js/marko/issues/1796,"[1796, 1797]",9,2
MithrilJS/mithril.js,35844,https://github.com/MithrilJS/mithril.js/issues/2773,"[2773, 2774]",1,2
MithrilJS/mithril.js,35845,https://github.com/MithrilJS/mithril.js/issues/2771,"[2771, 2772]",15,2
mlflow/mlflow,37387,https://github.com/mlflow/mlflow/issues/6250,"[6250, 6154, 6096, 6227, 6171, 6172]",6,6
mlflow/mlflow,37406,https://github.com/mlflow/mlflow/issues/6209,"[6209, 6228]",6,2
mlflow/mlflow,37409,https://github.com/mlflow/mlflow/issues/6224,"[6224, 6221]",5,2
mlflow/mlflow,37414,https://github.com/mlflow/mlflow/issues/6218,"[6218, 6194]",36,2
mlflow/mlflow,37416,https://github.com/mlflow/mlflow/issues/6216,"[6216, 6201]",9,2
mlflow/mlflow,37419,https://github.com/mlflow/mlflow/issues/6200,"[6200, 6212, 6213]",33,3
mlflow/mlflow,37422,https://github.com/mlflow/mlflow/issues/6208,"[6208, 6190, 6202, 6205, 6206, 6207]",7,6
mlflow/mlflow,37436,https://github.com/mlflow/mlflow/issues/6184,"[6184, 6169]",12,2
mlflow/mlflow,37439,https://github.com/mlflow/mlflow/issues/5659,"[5659, 6181]",55,2
mlflow/mlflow,37441,https://github.com/mlflow/mlflow/issues/6177,"[6177, 6179]",5,2
mlflow/mlflow,37443,https://github.com/mlflow/mlflow/issues/6176,"[6176, 6081]",6,2
mlflow/mlflow,37447,https://github.com/mlflow/mlflow/issues/6170,"[6170, 6155]",1,2
mlflow/mlflow,37468,https://github.com/mlflow/mlflow/issues/6134,"[6134, 6143]",0,2
mlflow/mlflow,37484,https://github.com/mlflow/mlflow/issues/5996,"[5996, 5997, 6126]",19,3
mlflow/mlflow,37485,https://github.com/mlflow/mlflow/issues/6121,"[6121, 6125]",2,2
mlflow/mlflow,37489,https://github.com/mlflow/mlflow/issues/6120,"[6120, 6119]",10,2
mlflow/mlflow,37490,https://github.com/mlflow/mlflow/issues/6093,"[6093, 6118]",1,2
mlflow/mlflow,37495,https://github.com/mlflow/mlflow/issues/6113,"[6113, 6107]",4,2
mlflow/mlflow,37496,https://github.com/mlflow/mlflow/issues/6112,"[6112, 5994, 5995]",13,3
mlflow/mlflow,37501,https://github.com/mlflow/mlflow/issues/6105,"[6105, 6106]",4,2
mlflow/mlflow,37503,https://github.com/mlflow/mlflow/issues/6083,"[6083, 6103]",2,2
mlflow/mlflow,37515,https://github.com/mlflow/mlflow/issues/6080,"[6080, 6089, 6085]",21,3
mlflow/mlflow,37521,https://github.com/mlflow/mlflow/issues/6076,"[6076, 5716]",12,2
mlflow/mlflow,37525,https://github.com/mlflow/mlflow/issues/6071,"[6071, 6063]",0,2
mlflow/mlflow,37529,https://github.com/mlflow/mlflow/issues/6066,"[6066, 6027, 6031]",5,3
mlflow/mlflow,37531,https://github.com/mlflow/mlflow/issues/6064,"[6064, 5939, 5819]",21,3
mlflow/mlflow,37534,https://github.com/mlflow/mlflow/issues/6060,"[6060, 6045, 6046]",8,3
mlflow/mlflow,37542,https://github.com/mlflow/mlflow/issues/6049,"[6049, 6052]",8,2
mlflow/mlflow,37550,https://github.com/mlflow/mlflow/issues/6041,"[6041, 6039]",12,2
mlflow/mlflow,37553,https://github.com/mlflow/mlflow/issues/5857,"[5857, 6036, 5862]",15,3
mlflow/mlflow,37557,https://github.com/mlflow/mlflow/issues/6017,"[6017, 5986, 6026, 6007, 6002, 6005, 5973, 5975, 5976, 5977, 5978, 5980, 5981, 5982, 5983]",308,15
mlflow/mlflow,37559,https://github.com/mlflow/mlflow/issues/6003,"[6003, 6023]",10,2
mlflow/mlflow,37564,https://github.com/mlflow/mlflow/issues/6018,"[6018, 5961, 5964, 5965, 5945, 5946, 5949]",26,7
mlflow/mlflow,37566,https://github.com/mlflow/mlflow/issues/5653,"[5653, 6011, 5725, 6014, 6015]",53,5
mlflow/mlflow,37574,https://github.com/mlflow/mlflow/issues/5993,"[5993, 5999]",5,2
mlflow/mlflow,37576,https://github.com/mlflow/mlflow/issues/5987,"[5987, 5988]",7,2
mlflow/mlflow,37582,https://github.com/mlflow/mlflow/issues/5968,"[5968, 5970]",30,2
