"key","repo_name","size","diameter","density","author_count","comment_count","repo_contributors","component_url","list_of_nodes"
"55495","summernote/summernote","49","14","0.027636055","113","294","292","https://github.com/summernote/summernote/issues/2560","2560|1410|3592|3593|3594|1937|530|1427|3478|1942|3616|3744|2977|3366|3495|3112|3113|3498|3370|1964|1574|42|3378|2996|3003|3005|2631|712|3659|3661|3024|2519|2007|1879|3031|3672|3678|4318|1759|97|3559|3050|2796|3061|3831|3706|3579|3196|3325"
"25036","jhen0409/react-native-debugger","4","3","0.25","13","14","58","https://github.com/jhen0409/react-native-debugger/issues/85","85|317|710|303"
"25038","jhen0409/react-native-debugger","5","3","0.2","48","57","58","https://github.com/jhen0409/react-native-debugger/issues/673","673|708|620|627|668"
"16595","casesandberg/react-color","2","1","0.5","3","7","80","https://github.com/casesandberg/react-color/issues/440","440|356"
"16083","BurntSushi/toml","4","3","0.25","4","20","45","https://github.com/BurntSushi/toml/issues/354","354|358|357|350"
"23507","grpc/grpc-web","3","2","0.33333334","11","49","99","https://github.com/grpc/grpc-web/issues/1249","1249|1214|1159"
"341","Activiti/Activiti","4","3","0.25","7","4","197","https://github.com/Activiti/Activiti/issues/3498","3498|3499|3618|3620"
"16982","cglib/cglib","21","9","0.05952381","34","169","19","https://github.com/cglib/cglib/issues/1","1|3|4|5|6|7|8|9|11|15|18|19|20|21|23|32|33|34|43|89|90"
"21339","deployphp/deployer","7","4","0.14285715","7","30","306","https://github.com/deployphp/deployer/issues/871","871|975|879|920|921|922|923"
"9181","apache/dubbo","13","6","0.09615385","24","70","402","https://github.com/apache/dubbo/issues/9337","9337|7653|7654|7655|7274|7115|7659|7636|7797|9336|7385|8413|8217"
"7904","ag-grid/ag-grid","2","1","0.5","20","34","109","https://github.com/ag-grid/ag-grid/issues/320","320|6"
"16482","casesandberg/react-color","2","1","0.5","1","1","80","https://github.com/casesandberg/react-color/issues/609","609|610"
"33123","marko-js/marko","2","1","0.5","4","6","115","https://github.com/marko-js/marko/issues/217","217|771"
"35173","mgonto/restangular","10","5","0.12222222","47","72","114","https://github.com/mgonto/restangular/issues/682","682|42|620|493|44|785|851|661|406|665"
"16104","BurntSushi/toml","30","9","0.042528737","53","131","45","https://github.com/BurntSushi/toml/issues/137","137|267|269|22|23|24|281|159|160|169|54|187|189|61|63|64|192|65|193|70|327|328|71|74|75|76|205|213|97|235"
"873","Activiti/Activiti","2","1","0.5","7","3","197","https://github.com/Activiti/Activiti/issues/2942","2942|2943"
"60141","tensorpack/tensorpack","4","3","0.25","4","38","53","https://github.com/tensorpack/tensorpack/issues/137","137|107|105|135"
"495","Activiti/Activiti","2","1","0.5","7","1","197","https://github.com/Activiti/Activiti/issues/3440","3440|3439"
"16501","casesandberg/react-color","3","2","0.33333334","15","20","80","https://github.com/casesandberg/react-color/issues/585","585|565|566"
"377","Activiti/Activiti","4","3","0.25","6","3","197","https://github.com/Activiti/Activiti/issues/3465","3465|3578|3566|3570"
"1401","Activiti/Activiti","4","3","0.25","3","19","197","https://github.com/Activiti/Activiti/issues/1377","1377|2258|1757|1693"
"26619","jonschlinkert/remarkable","2","1","0.5","6","36","38","https://github.com/jonschlinkert/remarkable/issues/17","17|4"
"18045","cruffenach/CRToast","6","2","0.26666668","6","15","27","https://github.com/cruffenach/CRToast/issues/1","1|36|37|6|26|27"
"62591","TypeStrong/ts-node","4","3","0.25","3","7","98","https://github.com/TypeStrong/ts-node/issues/1360","1360|1370|1282|1333"
"1151","Activiti/Activiti","2","1","0.5","1","3","197","https://github.com/Activiti/Activiti/issues/2586","2586|2595"
