repo_name,link_url,node_1_type,node_1_id,node_1_author,node_1_num_comment,node_2_type,node_2_id,node_2_author,node_2_num_commentslink_type
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/413#issuecomment-72324745,issue,413,https://github.com/vivekimsit,225,pull_request,3,https://github.com/eiriksm,1,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/108#issuecomment-44550464,issue,108,https://github.com/arsatiki,3,issue,4,https://github.com/meandavejustice,8,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/413#issuecomment-72324745,issue,413,https://github.com/vivekimsit,225,issue,5,https://github.com/jpmonette,5,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/413#issuecomment-72500633,issue,413,https://github.com/vivekimsit,225,pull_request,6,https://github.com/randymorris,1,other
MithrilJS/mithril.js,,issue,2055,https://github.com/dead-claudia,1,issue,2060,https://github.com/FremyCompany,6,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/413#issuecomment-71379806,issue,413,https://github.com/vivekimsit,225,pull_request,2,https://github.com/drittich,1,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2243#issue-368351730,issue,2243,https://github.com/dead-claudia,1,pull_request,2052,https://github.com/pygy,3,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/10#issuecomment-168401610,issue,10,https://github.com/yanns,15,pull_request,898,https://github.com/pygy,11,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/341#issuecomment-63511589,issue,341,https://github.com/g00fy-,20,issue,8,https://github.com/Raynos,14,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2060#issuecomment-1046890490,issue,2060,https://github.com/FremyCompany,6,pull_request,2711,https://github.com/jdiderik,0,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2061#issuecomment-1042739081,pull_request,2061,https://github.com/dead-claudia,26,pull_request,2743,https://github.com/StephanHoyer,0,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2243#issue-368351730,issue,2243,https://github.com/dead-claudia,1,pull_request,2062,https://github.com/magikstm,0,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2155#issuecomment-390302834,pull_request,2155,https://github.com/barneycarroll,7,pull_request,2064,https://github.com/magikstm,10,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2065#issue-285245071,pull_request,2065,https://github.com/magikstm,12,issue,1773,https://github.com/pygy,13,fixes
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2067#issuecomment-449181189,issue,2067,https://github.com/barneycarroll,24,issue,2098,https://github.com/barneycarroll,2,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2068#issuecomment-356603810,issue,2068,https://github.com/yulei745,6,issue,2070,https://github.com/dead-claudia,1,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/22#issue-29971501,issue,22,https://github.com/lhorie,3,issue,1,https://github.com/benjamingr,17,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2068#issuecomment-356603810,issue,2068,https://github.com/yulei745,6,issue,2070,https://github.com/dead-claudia,1,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2072#issue-287497307,issue,2072,https://github.com/dead-claudia,3,pull_request,2219,https://github.com/dead-claudia,13,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2073#issuecomment-519089732,issue,2073,https://github.com/dead-claudia,8,issue,2505,https://github.com/dead-claudia,0,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2074#issuecomment-438452765,issue,2074,https://github.com/dead-claudia,3,issue,2293,https://github.com/CreaturesInUnitards,6,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2080#issue-294009536,issue,2080,https://github.com/dead-claudia,2,pull_request,1949,https://github.com/dead-claudia,15,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2082#issuecomment-363887924,issue,2082,https://github.com/ftaiolivista,4,pull_request,2088,https://github.com/ftaiolivista,0,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2086#issue-295071398,pull_request,2086,https://github.com/ftaiolivista,1,pull_request,2085,https://github.com/ftaiolivista,0,fixes
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2087#issue-295083319,pull_request,2087,https://github.com/ftaiolivista,2,pull_request,2086,https://github.com/ftaiolivista,1,fixes
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2088#issue-295210834,pull_request,2088,https://github.com/ftaiolivista,0,pull_request,2087,https://github.com/ftaiolivista,2,fixes
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2082#issuecomment-363887924,issue,2082,https://github.com/ftaiolivista,4,pull_request,2088,https://github.com/ftaiolivista,0,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/147#issuecomment-47790620,issue,147,https://github.com/lhorie,9,issue,39,https://github.com/levitanong,1,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/1182#issuecomment-366773387,issue,1182,https://github.com/barneycarroll,19,issue,2090,https://github.com/osban,9,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2243#issue-368351730,issue,2243,https://github.com/dead-claudia,1,pull_request,2091,https://github.com/spacejack,6,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2243#issue-368351730,issue,2243,https://github.com/dead-claudia,1,pull_request,2092,https://github.com/spacejack,2,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2096#issuecomment-373091175,issue,2096,https://github.com/pygy,2,pull_request,2097,https://github.com/pygy,6,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2096#issuecomment-373091175,issue,2096,https://github.com/pygy,2,pull_request,2097,https://github.com/pygy,6,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2295#issuecomment-439846375,issue,2295,https://github.com/dead-claudia,25,issue,2098,https://github.com/barneycarroll,2,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/545#issuecomment-144211399,issue,545,https://github.com/farzher,56,issue,49,https://github.com/lhorie,1,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2101#issuecomment-433751193,issue,2101,https://github.com/orbitbot,9,issue,2262,https://github.com/spacejack,8,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2243#issue-368351730,issue,2243,https://github.com/dead-claudia,1,pull_request,2102,https://github.com/pygy,0,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2103#issuecomment-395859241,issue,2103,https://github.com/MynockSpit,7,issue,1991,https://github.com/starsolaris,15,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2050#issuecomment-373927641,issue,2050,https://github.com/dead-claudia,12,issue,2106,https://github.com/barneycarroll,5,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2107#issuecomment-820721959,issue,2107,https://github.com/starsolaris,9,pull_request,2670,https://github.com/barneycarroll,9,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/147#issue-36949152,issue,147,https://github.com/lhorie,9,issue,60,https://github.com/sanderhahn,12,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2194#issue-343359359,pull_request,2194,https://github.com/porsager,24,issue,2112,https://github.com/porsager,4,fixes
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2113#issue-310107561,issue,2113,https://github.com/doesntgolf,7,issue,1759,https://github.com/dontwork,1,duplicate
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2149#issue-322603850,pull_request,2149,https://github.com/kylebakerio,6,issue,2114,https://github.com/kylebakerio,15,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/679#issuecomment-118062478,issue,679,https://github.com/opax,10,issue,69,https://github.com/Yakulu,3,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2121#issue-314332670,issue,2121,https://github.com/pygy,4,pull_request,2156,https://github.com/pygy,18,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2243#issue-368351730,issue,2243,https://github.com/dead-claudia,1,pull_request,2122,https://github.com/pygy,3,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2124#issuecomment-385925311,issue,2124,https://github.com/LuigiBaute,21,issue,1033,https://github.com/aardno,98,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2127#issuecomment-450486938,issue,2127,https://github.com/webketje,7,pull_request,2317,https://github.com/dead-claudia,0,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2128#issuecomment-383230987,issue,2128,https://github.com/JacksonJN,6,pull_request,2130,https://github.com/pygy,16,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2129#issue-316202889,issue,2129,https://github.com/barneycarroll,3,issue,2270,https://github.com/dead-claudia,0,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2128#issuecomment-383230987,issue,2128,https://github.com/JacksonJN,6,pull_request,2130,https://github.com/pygy,16,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2132#issue-316517873,issue,2132,https://github.com/pygy,0,pull_request,2130,https://github.com/pygy,16,other
MithrilJS/mithril.js,,pull_request,2149,https://github.com/kylebakerio,6,issue,2136,https://github.com/kylebakerio,5,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/701#issue-91966324,issue,701,https://github.com/pdfernhout,5,issue,95,https://github.com/ldimi,1,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2148#issuecomment-452045791,issue,2148,https://github.com/futurist,31,issue,2355,https://github.com/brentropy,8,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2149#issue-322603850,pull_request,2149,https://github.com/kylebakerio,6,pull_request,2316,https://github.com/StephanHoyer,3,other
MithrilJS/mithril.js,,pull_request,2207,https://github.com/porsager,13,issue,2150,https://github.com/barneycarroll,2,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2155#issuecomment-390302834,pull_request,2155,https://github.com/barneycarroll,7,pull_request,2064,https://github.com/magikstm,10,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/108#issuecomment-44550464,issue,108,https://github.com/arsatiki,3,issue,4,https://github.com/meandavejustice,8,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2243#issue-368351730,issue,2243,https://github.com/dead-claudia,1,pull_request,2156,https://github.com/pygy,18,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2174#issue-328778743,pull_request,2174,https://github.com/pygy,5,issue,2172,https://github.com/pygy,6,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2452#issuecomment-526961097,pull_request,2452,https://github.com/dead-claudia,2,pull_request,2174,https://github.com/pygy,5,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2180#issue-330917034,pull_request,2180,https://github.com/pygy,1,issue,2179,https://github.com/pygy,15,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2180#issue-330917034,pull_request,2180,https://github.com/pygy,1,issue,2179,https://github.com/pygy,15,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2243#issue-368351730,issue,2243,https://github.com/dead-claudia,1,pull_request,2181,https://github.com/sebastiansandqvist,2,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2216#issue-354694679,issue,2216,https://github.com/dead-claudia,3,issue,2187,https://github.com/mikesmullin,6,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/2232#issuecomment-429577616,issue,2232,https://github.com/starsolaris,7,pull_request,2194,https://github.com/porsager,24,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/issues/147#issue-36949152,issue,147,https://github.com/lhorie,9,issue,60,https://github.com/sanderhahn,12,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2201#issue-348746219,pull_request,2201,https://github.com/porsager,1,issue,2197,https://github.com/foxdonut,0,other
MithrilJS/mithril.js,https://github.com/MithrilJS/mithril.js/pull/2207#issue-353238500,pull_request,2207,https://github.com/porsager,13,pull_request,2200,https://github.com/porsager,7,other
